Category,Type,Component 1,Component 2
Poetic,Prompt,0.46704889723286563,-0.383663866
Technical,Prompt,0.5204315604131451,0.1656983112826408
Narrative,Prompt,0.43863116172417443,0.5328056693833062
Performative,Prompt,-0.021686823,0.06889383
Style Transfer,Prompt,0.26370850937454743,-0.431260313
Poetic,Output,-0.191585906,-0.206298087
Technical,Output,-0.433079479,0.073874471
Narrative,Output,-0.450096937,-0.095959925
Performative,Output,-0.289620291,0.5348295874554196
Style Transfer,Output,-0.303750692,-0.258919679
